TF,observed_score,null_mean,null_std,z_score,empirical_p_value,significant,condition
Solyc10g047640,0.25423205,0.079661,0.9230806,0.18911788,0.8261738261738262,False,stat_Pinfestans
Solyc10g078700,-0.9203387,-0.022829603,1.0194017,-0.88042736,0.3646353646353646,False,stat_Pinfestans
Solyc10g081350,-1.1268693,0.023746021,0.9676811,-1.1890439,0.22477522477522477,False,stat_Pinfestans
Solyc10g084180,-0.5952448,0.0052898205,0.9795491,-0.6130725,0.5204795204795205,False,stat_Pinfestans
Solyc12g006800,-0.4531461,0.02256447,0.99855006,-0.47640133,0.6173826173826173,False,stat_Pinfestans
Solyc12g007180,0.40768838,-0.061192356,0.96957964,0.4835918,0.6423576423576424,False,stat_Pinfestans
Solyc12g009240,1.8512875,0.072782435,0.9551664,1.8619846,0.054945054945054944,False,stat_Pinfestans
Solyc12g014610,1.5561688,0.01538571,0.97129047,1.5863258,0.1038961038961039,False,stat_Pinfestans
Solyc12g056510,0.67165804,0.08603508,0.97807014,0.5987536,0.5474525474525475,False,stat_Pinfestans
Solyc12g077540,0.022306085,-0.017285347,0.9887273,0.040042825,0.971028971028971,False,stat_Pinfestans
Solyc12g099370,1.0617126,-0.0075635375,1.0363564,1.0317649,0.3106893106893107,False,stat_Pinfestans
Solyc01g065540,-0.016132006,0.01988364,1.0246089,-0.03515063,0.973026973026973,False,stat_Cfulvum
Solyc01g087990,-0.7279048,0.02022233,1.024285,-0.7303896,0.45554445554445555,False,stat_Cfulvum
Solyc01g095460,-3.4584143,-0.014713362,0.9882127,-3.4847772,0.002997002997002997,True,stat_Cfulvum
Solyc01g102300,-2.068097,-0.0095478725,1.0030916,-2.0522046,0.03296703296703297,True,stat_Cfulvum
Solyc01g103050,-2.2880647,-0.040794536,1.0175123,-2.2085924,0.03196803196803197,True,stat_Cfulvum
Solyc01g104760,1.4309603,0.02097108,1.0555986,1.3357248,0.18181818181818182,False,stat_Cfulvum
Solyc01g108080,0.032589223,0.052019425,1.0452996,-0.018588165,0.987012987012987,False,stat_Cfulvum
Solyc02g062950,-2.4224627,0.03664003,0.9965595,-2.4675925,0.014985014985014986,True,stat_Cfulvum
Solyc02g077840,2.0344052,0.099637866,0.9785601,1.9771575,0.04695304695304695,True,stat_Cfulvum
Solyc02g084350,2.9517183,0.06837306,1.0755537,2.6808012,0.005994005994005994,True,stat_Cfulvum
Solyc02g085580,-0.08680145,0.043502748,1.0148257,-0.12840056,0.9000999000999002,False,stat_Cfulvum
Solyc02g090220,-2.4841032,-0.05165745,0.9884499,-2.460869,0.013986013986013986,True,stat_Cfulvum
Solyc03g026270,0.3088391,-0.047957968,1.0322493,0.34565008,0.7302697302697303,False,stat_Cfulvum
