source,condition,score
Solyc10g047640,stat_Cfulvum,-0.94413406
Solyc10g078700,stat_Cfulvum,-1.2601224
Solyc10g081350,stat_Cfulvum,-2.1427042
Solyc10g084180,stat_Cfulvum,0.58199453
Solyc12g006800,stat_Cfulvum,0.69043297
Solyc12g007180,stat_Cfulvum,-1.1513981
Solyc12g009240,stat_Cfulvum,1.164483
Solyc12g014610,stat_Cfulvum,2.3092875
Solyc12g056510,stat_Cfulvum,-0.04201389
Solyc12g077540,stat_Cfulvum,0.6660435
Solyc12g099370,stat_Cfulvum,0.6981341
Solyc01g065540,stat_PSTVd_S23,-0.7564255
Solyc01g087990,stat_PSTVd_S23,0.4246064
Solyc01g095460,stat_PSTVd_S23,1.0310466
Solyc01g102300,stat_PSTVd_S23,-0.9554584
Solyc01g103050,stat_PSTVd_S23,-0.44591546
Solyc01g104760,stat_PSTVd_S23,-1.34166
Solyc01g108080,stat_PSTVd_S23,1.2012453
Solyc02g062950,stat_PSTVd_S23,0.75185674
Solyc02g077840,stat_PSTVd_S23,2.171285
Solyc02g084350,stat_PSTVd_S23,0.54896957
Solyc02g085580,stat_PSTVd_S23,0.74075836
Solyc02g090220,stat_PSTVd_S23,-2.3740456
Solyc03g026270,stat_PSTVd_S23,0.5115531
Solyc03g026280,stat_PSTVd_S23,0.9859029
Solyc03g093550,stat_PSTVd_S23,1.0242134
Solyc03g097120,stat_PSTVd_S23,-1.2988417
Solyc03g112930,stat_PSTVd_S23,-0.4026579
Solyc03g113760,stat_PSTVd_S23,-1.2640866
Solyc03g121660,stat_PSTVd_S23,-0.5173396
Solyc04g005100,stat_PSTVd_S23,0.70835924
Solyc04g008870,stat_PSTVd_S23,0.9066521
Solyc04g009950,stat_PSTVd_S23,1.5694215
Solyc04g056310,stat_PSTVd_S23,-0.0401661
Solyc04g072900,stat_PSTVd_S23,2.4102423
Solyc04g074170,stat_PSTVd_S23,-0.21384816
Solyc04g077980,stat_PSTVd_S23,-1.1872033
Solyc04g078770,stat_PSTVd_S23,-1.4337629
Solyc04g078840,stat_PSTVd_S23,0.4344628
Solyc04g082480,stat_PSTVd_S23,0.52659494
Solyc05g006650,stat_PSTVd_S23,0.6275878
Solyc05g012500,stat_PSTVd_S23,3.194366
Solyc05g015840,stat_PSTVd_S23,-0.24698958
Solyc05g026180,stat_PSTVd_S23,-0.08934771
Solyc06g048630,stat_PSTVd_S23,-0.16254848
Solyc06g051840,stat_PSTVd_S23,1.6186762
Solyc06g053350,stat_PSTVd_S23,0.6898898
Solyc06g065040,stat_PSTVd_S23,-1.0129088
Solyc06g069460,stat_PSTVd_S23,-1.3400383
Solyc06g070900,stat_PSTVd_S23,-2.0906622
Solyc06g071230,stat_PSTVd_S23,0.5128065
Solyc06g071480,stat_PSTVd_S23,-0.4026579
Solyc06g074170,stat_PSTVd_S23,-0.23537032
Solyc06g082430,stat_PSTVd_S23,1.916477
Solyc07g026680,stat_PSTVd_S23,1.1402305
Solyc07g053570,stat_PSTVd_S23,0.5821838
Solyc07g054220,stat_PSTVd_S23,2.7139366
Solyc07g063420,stat_PSTVd_S23,1.314779
Solyc07g066220,stat_PSTVd_S23,1.7723768
Solyc08g005260,stat_PSTVd_S23,-0.02735112
Solyc08g006020,stat_PSTVd_S23,2.8074768
Solyc08g061130,stat_PSTVd_S23,1.5296264
Solyc08g066510,stat_PSTVd_S23,-0.5875115
Solyc08g077110,stat_PSTVd_S23,1.1837627
Solyc08g080150,stat_PSTVd_S23,-1.6124187
Solyc08g081610,stat_PSTVd_S23,2.164501
Solyc09g010820,stat_PSTVd_S23,-2.2604294
Solyc10g018780,stat_PSTVd_S23,-1.5350189
Solyc10g047640,stat_PSTVd_S23,-0.14256099
Solyc10g078700,stat_PSTVd_S23,0.11175726
Solyc10g081350,stat_PSTVd_S23,1.0318805
Solyc10g084180,stat_PSTVd_S23,-0.26412073
Solyc12g006800,stat_PSTVd_S23,-0.8135565
Solyc12g007180,stat_PSTVd_S23,-2.4888346
Solyc12g009240,stat_PSTVd_S23,1.60134
Solyc12g014610,stat_PSTVd_S23,2.3338997
Solyc12g056510,stat_PSTVd_S23,-0.02937739
Solyc12g077540,stat_PSTVd_S23,-0.6373795
Solyc12g099370,stat_PSTVd_S23,-1.118574
Solyc01g065540,stat_PSTVd_M,-0.028393175
Solyc01g087990,stat_PSTVd_M,0.58001834
Solyc01g095460,stat_PSTVd_M,1.3687421
Solyc01g102300,stat_PSTVd_M,-0.48193705
Solyc01g103050,stat_PSTVd_M,0.036439124
Solyc01g104760,stat_PSTVd_M,-1.6572936
Solyc01g108080,stat_PSTVd_M,0.74889827
Solyc02g062950,stat_PSTVd_M,0.25254908
Solyc02g077840,stat_PSTVd_M,1.2260208
Solyc02g084350,stat_PSTVd_M,0.15128288
Solyc02g085580,stat_PSTVd_M,0.8258479
Solyc02g090220,stat_PSTVd_M,-1.2702674
Solyc03g026270,stat_PSTVd_M,1.213233
Solyc03g026280,stat_PSTVd_M,1.3738221
Solyc03g093550,stat_PSTVd_M,1.0572301
Solyc03g097120,stat_PSTVd_M,-0.38763177
Solyc03g112930,stat_PSTVd_M,-1.0416218
Solyc03g113760,stat_PSTVd_M,-0.58328515
Solyc03g121660,stat_PSTVd_M,-0.19080134
Solyc04g005100,stat_PSTVd_M,0.29780814
Solyc04g008870,stat_PSTVd_M,-0.13042168
Solyc04g009950,stat_PSTVd_M,1.9951633
Solyc04g056310,stat_PSTVd_M,-0.8427759
Solyc04g072900,stat_PSTVd_M,2.4012444
Solyc04g074170,stat_PSTVd_M,-0.96683306
Solyc04g077980,stat_PSTVd_M,-0.9449269
Solyc04g078770,stat_PSTVd_M,-0.8793352
Solyc04g078840,stat_PSTVd_M,0.19302455
Solyc04g082480,stat_PSTVd_M,-0.84882605
Solyc05g006650,stat_PSTVd_M,1.7334319
Solyc05g012500,stat_PSTVd_M,3.250946
Solyc05g015840,stat_PSTVd_M,0.22326852
Solyc05g026180,stat_PSTVd_M,0.43138355
Solyc06g048630,stat_PSTVd_M,1.3993387
Solyc06g051840,stat_PSTVd_M,0.6703081
Solyc06g053350,stat_PSTVd_M,1.0154563
Solyc06g065040,stat_PSTVd_M,0.58356255
Solyc06g069460,stat_PSTVd_M,-1.217834
Solyc06g070900,stat_PSTVd_M,-1.7097801
Solyc06g071230,stat_PSTVd_M,2.0084236
Solyc06g071480,stat_PSTVd_M,-1.0416218
Solyc06g074170,stat_PSTVd_M,-1.1559796
Solyc06g082430,stat_PSTVd_M,0.90816253
Solyc07g026680,stat_PSTVd_M,2.4318542
Solyc07g053570,stat_PSTVd_M,0.7340921
Solyc07g054220,stat_PSTVd_M,1.7689711
Solyc07g063420,stat_PSTVd_M,1.9585441
Solyc07g066220,stat_PSTVd_M,2.790476
Solyc08g005260,stat_PSTVd_M,0.7825454
Solyc08g006020,stat_PSTVd_M,3.223943
Solyc08g061130,stat_PSTVd_M,2.9137516
Solyc08g066510,stat_PSTVd_M,-0.18067963
Solyc08g077110,stat_PSTVd_M,0.4163479
Solyc08g080150,stat_PSTVd_M,-0.940841
Solyc08g081610,stat_PSTVd_M,1.7060758
Solyc09g010820,stat_PSTVd_M,-0.36402944
Solyc10g018780,stat_PSTVd_M,-0.80165493
Solyc10g047640,stat_PSTVd_M,-1.535767
Solyc10g078700,stat_PSTVd_M,-0.99066097
Solyc10g081350,stat_PSTVd_M,1.0739902
Solyc10g084180,stat_PSTVd_M,0.35673106
Solyc12g006800,stat_PSTVd_M,0.19552602
Solyc12g007180,stat_PSTVd_M,-2.2343721
Solyc12g009240,stat_PSTVd_M,1.1237538
Solyc12g014610,stat_PSTVd_M,2.7186472
Solyc12g056510,stat_PSTVd_M,-0.6847931
Solyc12g077540,stat_PSTVd_M,-1.3500764
Solyc12g099370,stat_PSTVd_M,-1.6254332
Solyc01g065540,stat_Bcinerea,0.72348124
Solyc01g087990,stat_Bcinerea,0.3014853
Solyc01g095460,stat_Bcinerea,-4.2593174
Solyc01g102300,stat_Bcinerea,-1.4472659
Solyc01g103050,stat_Bcinerea,-1.9456236
Solyc01g104760,stat_Bcinerea,-0.18653965
Solyc01g108080,stat_Bcinerea,-1.0518122
Solyc02g062950,stat_Bcinerea,-3.4513252
Solyc02g077840,stat_Bcinerea,3.896799
Solyc02g084350,stat_Bcinerea,0.14846724
Solyc02g085580,stat_Bcinerea,-0.2960707
Solyc02g090220,stat_Bcinerea,-2.456258
Solyc03g026270,stat_Bcinerea,-0.574305
Solyc03g026280,stat_Bcinerea,-0.14211918
Solyc03g093550,stat_Bcinerea,2.659571
Solyc03g097120,stat_Bcinerea,1.8664842
Solyc03g112930,stat_Bcinerea,-0.72944665
Solyc03g113760,stat_Bcinerea,1.8112751
Solyc03g121660,stat_Bcinerea,0.059527006
Solyc04g005100,stat_Bcinerea,-1.6615098
Solyc04g008870,stat_Bcinerea,-2.992697
Solyc04g009950,stat_Bcinerea,1.0538741
Solyc04g056310,stat_Bcinerea,2.1414952
Solyc04g072900,stat_Bcinerea,0.25654143
Solyc04g074170,stat_Bcinerea,0.5953013
Solyc04g077980,stat_Bcinerea,0.44017735
Solyc04g078770,stat_Bcinerea,2.4704876
Solyc04g078840,stat_Bcinerea,-2.9509861
Solyc04g082480,stat_Bcinerea,0.31314525
Solyc05g006650,stat_Bcinerea,-1.3763654
Solyc05g012500,stat_Bcinerea,3.0505064
Solyc05g015840,stat_Bcinerea,-0.15151101
Solyc05g026180,stat_Bcinerea,0.7992129
Solyc06g048630,stat_Bcinerea,-2.1610055
Solyc06g051840,stat_Bcinerea,1.1832588
Solyc06g053350,stat_Bcinerea,-2.1914647
Solyc06g065040,stat_Bcinerea,0.84851915
Solyc06g069460,stat_Bcinerea,-1.6153829
Solyc06g070900,stat_Bcinerea,-2.9607475
Solyc06g071230,stat_Bcinerea,-2.0043156
Solyc06g071480,stat_Bcinerea,-0.72944665
Solyc06g074170,stat_Bcinerea,-1.2858086
Solyc06g082430,stat_Bcinerea,1.3545951
Solyc07g026680,stat_Bcinerea,-0.8841201
Solyc07g053570,stat_Bcinerea,-0.3220809
Solyc07g054220,stat_Bcinerea,2.1635664
Solyc07g063420,stat_Bcinerea,2.6204095
Solyc07g066220,stat_Bcinerea,1.2966206
Solyc08g005260,stat_Bcinerea,0.54623526
Solyc08g006020,stat_Bcinerea,1.5031582
Solyc08g061130,stat_Bcinerea,-3.014358
Solyc08g066510,stat_Bcinerea,1.1032854
Solyc08g077110,stat_Bcinerea,1.5751402
Solyc08g080150,stat_Bcinerea,-1.9434725
Solyc08g081610,stat_Bcinerea,3.0622063
Solyc09g010820,stat_Bcinerea,-0.2597876
Solyc10g018780,stat_Bcinerea,-0.7545608
Solyc10g047640,stat_Bcinerea,0.05769067
Solyc10g078700,stat_Bcinerea,-0.34468824
Solyc10g081350,stat_Bcinerea,-3.7241523
Solyc10g084180,stat_Bcinerea,-0.093254566
Solyc12g006800,stat_Bcinerea,0.040358912
Solyc12g007180,stat_Bcinerea,0.21929647
Solyc12g009240,stat_Bcinerea,2.2864377
Solyc12g014610,stat_Bcinerea,2.265019
Solyc12g056510,stat_Bcinerea,0.21606481
Solyc12g077540,stat_Bcinerea,0.064882986
Solyc12g099370,stat_Bcinerea,1.1603419
Solyc01g065540,stat_Mincognita_7dpi,0.2691778
Solyc01g087990,stat_Mincognita_7dpi,-0.4305676
Solyc01g095460,stat_Mincognita_7dpi,-2.2964501
Solyc01g102300,stat_Mincognita_7dpi,-1.1746689
Solyc01g103050,stat_Mincognita_7dpi,1.3804404
Solyc01g104760,stat_Mincognita_7dpi,-1.8282429
Solyc01g108080,stat_Mincognita_7dpi,-2.7310674
Solyc02g062950,stat_Mincognita_7dpi,-2.7834253
Solyc02g077840,stat_Mincognita_7dpi,2.3341498
Solyc02g084350,stat_Mincognita_7dpi,0.46939176
Solyc02g085580,stat_Mincognita_7dpi,-0.372277
Solyc02g090220,stat_Mincognita_7dpi,-0.62221164
Solyc03g026270,stat_Mincognita_7dpi,2.2930908
Solyc03g026280,stat_Mincognita_7dpi,1.8578088
Solyc03g093550,stat_Mincognita_7dpi,1.3154234
Solyc03g097120,stat_Mincognita_7dpi,1.3439156
Solyc03g112930,stat_Mincognita_7dpi,0.40329227
Solyc03g113760,stat_Mincognita_7dpi,2.4410713
Solyc03g121660,stat_Mincognita_7dpi,-0.45252413
Solyc04g005100,stat_Mincognita_7dpi,1.039914
Solyc04g008870,stat_Mincognita_7dpi,0.9068258
Solyc04g009950,stat_Mincognita_7dpi,1.6556439
Solyc04g056310,stat_Mincognita_7dpi,0.48982805
Solyc04g072900,stat_Mincognita_7dpi,0.010279532
Solyc04g074170,stat_Mincognita_7dpi,-0.14614226
Solyc04g077980,stat_Mincognita_7dpi,0.034089826
Solyc04g078770,stat_Mincognita_7dpi,0.5141122
Solyc04g078840,stat_Mincognita_7dpi,-2.7522895
Solyc04g082480,stat_Mincognita_7dpi,-1.1350449
Solyc05g006650,stat_Mincognita_7dpi,-2.0819657
Solyc05g012500,stat_Mincognita_7dpi,-1.4219997
Solyc05g015840,stat_Mincognita_7dpi,-0.091334455
Solyc05g026180,stat_Mincognita_7dpi,-0.06275432
Solyc06g048630,stat_Mincognita_7dpi,-1.5461037
Solyc06g051840,stat_Mincognita_7dpi,1.9309268
Solyc06g053350,stat_Mincognita_7dpi,-2.9786673
Solyc06g065040,stat_Mincognita_7dpi,-1.3547976
Solyc06g069460,stat_Mincognita_7dpi,1.0447888
Solyc06g070900,stat_Mincognita_7dpi,2.4614756
Solyc06g071230,stat_Mincognita_7dpi,2.4125404
Solyc06g071480,stat_Mincognita_7dpi,0.40329227
Solyc06g074170,stat_Mincognita_7dpi,0.5984845
Solyc06g082430,stat_Mincognita_7dpi,1.8695972
Solyc07g026680,stat_Mincognita_7dpi,2.1435163
Solyc07g053570,stat_Mincognita_7dpi,-0.31133533
Solyc07g054220,stat_Mincognita_7dpi,1.1264868
Solyc07g063420,stat_Mincognita_7dpi,0.49688596
Solyc07g066220,stat_Mincognita_7dpi,-0.36770418
Solyc08g005260,stat_Mincognita_7dpi,0.032223023
Solyc08g006020,stat_Mincognita_7dpi,0.35103175
Solyc08g061130,stat_Mincognita_7dpi,-2.0645545
Solyc08g066510,stat_Mincognita_7dpi,0.46389237
Solyc08g077110,stat_Mincognita_7dpi,-0.055919338
Solyc08g080150,stat_Mincognita_7dpi,2.0784454
Solyc08g081610,stat_Mincognita_7dpi,-2.833336
Solyc09g010820,stat_Mincognita_7dpi,2.1918945
Solyc10g018780,stat_Mincognita_7dpi,0.8714422
Solyc10g047640,stat_Mincognita_7dpi,-0.18260416
Solyc10g078700,stat_Mincognita_7dpi,-0.06380719
Solyc10g081350,stat_Mincognita_7dpi,-2.6941068
Solyc10g084180,stat_Mincognita_7dpi,-0.9607382
Solyc12g006800,stat_Mincognita_7dpi,-0.4056372
Solyc12g007180,stat_Mincognita_7dpi,-0.66677654
Solyc12g009240,stat_Mincognita_7dpi,0.9465511
Solyc12g014610,stat_Mincognita_7dpi,-2.1759484
Solyc12g056510,stat_Mincognita_7dpi,0.59879804
Solyc12g077540,stat_Mincognita_7dpi,-0.5817164
Solyc12g099370,stat_Mincognita_7dpi,-0.8792595
Solyc01g065540,stat_Mincognita_14dpi,0.15605414
Solyc01g087990,stat_Mincognita_14dpi,-0.6281631
Solyc01g095460,stat_Mincognita_14dpi,-0.09364092
Solyc01g102300,stat_Mincognita_14dpi,-1.5440441
Solyc01g103050,stat_Mincognita_14dpi,-0.19575378
Solyc01g104760,stat_Mincognita_14dpi,-1.9062264
Solyc01g108080,stat_Mincognita_14dpi,1.4507517
Solyc02g062950,stat_Mincognita_14dpi,-0.101566136
Solyc02g077840,stat_Mincognita_14dpi,2.4351833
Solyc02g084350,stat_Mincognita_14dpi,0.9303552
Solyc02g085580,stat_Mincognita_14dpi,-1.5477337
Solyc02g090220,stat_Mincognita_14dpi,-0.6038613
Solyc03g026270,stat_Mincognita_14dpi,0.69748574
Solyc03g026280,stat_Mincognita_14dpi,0.22860947
Solyc03g093550,stat_Mincognita_14dpi,2.3846307
Solyc03g097120,stat_Mincognita_14dpi,2.6772146
Solyc03g112930,stat_Mincognita_14dpi,1.1769701
Solyc03g113760,stat_Mincognita_14dpi,1.4798497
Solyc03g121660,stat_Mincognita_14dpi,-0.7192283
Solyc04g005100,stat_Mincognita_14dpi,0.30506918
Solyc04g008870,stat_Mincognita_14dpi,0.47963676
Solyc04g009950,stat_Mincognita_14dpi,0.5131978
Solyc04g056310,stat_Mincognita_14dpi,0.2087313
Solyc04g072900,stat_Mincognita_14dpi,0.9508495
Solyc04g074170,stat_Mincognita_14dpi,-0.59287584
Solyc04g077980,stat_Mincognita_14dpi,0.7316334
Solyc04g078770,stat_Mincognita_14dpi,2.696457
Solyc04g078840,stat_Mincognita_14dpi,0.15439017
Solyc04g082480,stat_Mincognita_14dpi,-0.59310925
Solyc05g006650,stat_Mincognita_14dpi,-0.4325699
Solyc05g012500,stat_Mincognita_14dpi,-0.15558003
Solyc05g015840,stat_Mincognita_14dpi,-0.58030444
Solyc05g026180,stat_Mincognita_14dpi,1.557319
Solyc06g048630,stat_Mincognita_14dpi,-3.2621655
Solyc06g051840,stat_Mincognita_14dpi,1.356395
Solyc06g053350,stat_Mincognita_14dpi,-2.502955
Solyc06g065040,stat_Mincognita_14dpi,-2.275828
Solyc06g069460,stat_Mincognita_14dpi,-0.3741272
Solyc06g070900,stat_Mincognita_14dpi,0.07034666
Solyc06g071230,stat_Mincognita_14dpi,1.1660223
Solyc06g071480,stat_Mincognita_14dpi,1.1769701
Solyc06g074170,stat_Mincognita_14dpi,1.4174867
Solyc06g082430,stat_Mincognita_14dpi,0.71088547
Solyc07g026680,stat_Mincognita_14dpi,-0.114684366
Solyc07g053570,stat_Mincognita_14dpi,-1.5021166
Solyc07g054220,stat_Mincognita_14dpi,2.608657
Solyc07g063420,stat_Mincognita_14dpi,0.29191682
Solyc07g066220,stat_Mincognita_14dpi,-3.3021758
Solyc08g005260,stat_Mincognita_14dpi,-0.34304336
Solyc08g006020,stat_Mincognita_14dpi,0.07159842
Solyc08g061130,stat_Mincognita_14dpi,0.7722073
Solyc08g066510,stat_Mincognita_14dpi,0.2995922
Solyc08g077110,stat_Mincognita_14dpi,0.62730163
Solyc08g080150,stat_Mincognita_14dpi,-0.53335464
Solyc08g081610,stat_Mincognita_14dpi,-2.1304085
Solyc09g010820,stat_Mincognita_14dpi,-0.91716146
Solyc10g018780,stat_Mincognita_14dpi,0.8900646
Solyc10g047640,stat_Mincognita_14dpi,-0.84345573
Solyc10g078700,stat_Mincognita_14dpi,-0.17492898
Solyc10g081350,stat_Mincognita_14dpi,0.32922027
Solyc10g084180,stat_Mincognita_14dpi,-1.8858143
Solyc12g006800,stat_Mincognita_14dpi,-0.63679844
Solyc12g007180,stat_Mincognita_14dpi,-0.8210165
Solyc12g009240,stat_Mincognita_14dpi,0.52268004
Solyc12g014610,stat_Mincognita_14dpi,0.010813783
Solyc12g056510,stat_Mincognita_14dpi,-0.51216626
Solyc12g077540,stat_Mincognita_14dpi,-0.5002436
Solyc12g099370,stat_Mincognita_14dpi,-2.18192
